rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | ncond | nind  | stmt
----------------------------------------------------------------------------
? SET ROLE tfog_abells_u;
11      | 5.27        | 106.957        | 10.9757     | 0.062       | 0     | 4     |  select find_text('diaddvur');
11      | 5.27        | 26.759         | 2.7423      | 0.033       | 0     | 4     |  select find_text('Dvůr Králové');
11      | 5.27        | 21.004         | 2.1677      | 0.032       | 0     | 4     |  select find_text('bsys@seznam.cz');
11      | 5.27        | 37.92          | 3.8523      | 0.038       | 0     | 4     |  select find_text('Slouzi k inicializaci promennych - zatim jen retezce');
16      | 5.27        | 22.599         | 2.3209      | 0.032       | 0     | 4     |  select find_text('Product 1');
6       | 5.27        | 22.89          | 2.3518      | 0.032       | 0     | 4     |  select find_text('Year 1');
7       | 5.27        | 25.962         | 2.6588      | 0.032       | 0     | 4     |  select find_text('Total Other Liabilities');
3       | 5.27        | 26.329         | 2.6958      | 0.032       | 0     | 4     |  select find_text('Total money in (£)');
30      | 5.27        | 16.983         | 1.7611      | 0.032       | 0     | 4     |  select find_text('12');
8       | 5.27        | 23.333         | 2.3984      | 0.032       | 0     | 4     |  select find_text('Profit margin (%)');
4       | 5.27        | 21.42          | 2.202       | 0.033       | 0     | 4     |  select find_text('By Vertex42.com');
4       | 5.27        | 22.117         | 2.2718      | 0.032       | 0     | 4     |  select find_text('Milestone #6');
4       | 5.27        | 17.21          | 1.7884      | 0.032       | 0     | 4     |  select find_text('120');
8       | 5.27        | 22.696         | 2.3319      | 0.032       | 0     | 4     |  select find_text('Dissertation III');
8       | 5.27        | 33.759         | 3.4351      | 0.031       | 0     | 4     |  select find_text('Hybrid: 4 days Ft. Lauderdale w/online component');
8       | 5.27        | 17.649         | 1.8281      | 0.034       | 0     | 4     |  select find_text('68');
2       | 5.27        | 22.519         | 2.315       | 0.035       | 0     | 4     |  select find_text('January 2014');
2       | 5.27        | 21.14          | 2.1798      | 0.033       | 0     | 4     |  select find_text('NAD 48000');
3       | 5.27        | 25.972         | 2.6601      | 0.032       | 0     | 4     |  select find_text('Total Cost Material 5');
1       | 5.27        | 20.993         | 2.1617      | 0.032       | 0     | 4     |  select find_text('Mth 6');
4       | 5.27        | 30.528         | 3.1155      | 0.032       | 0     | 4     |  select find_text('Total Expenditure = (D) = B + C');
2       | 5.27        | 25.139         | 2.5766      | 0.032       | 0     | 4     |  select find_text(' Annual charge £');
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
5       | 5.27        | 22.089         | 2.2729      | 0.032       | 0     | 4     |  select find_text('diaddvur');
5       | 5.27        | 24.579         | 2.5245      | 0.033       | 0     | 4     |  select find_text('Dvůr Králové');
5       | 5.27        | 18.771         | 1.9384      | 0.031       | 0     | 4     |  select find_text('bsys@seznam.cz');
5       | 5.27        | 35.471         | 3.6079      | 0.032       | 0     | 4     |  select find_text('Slouzi k inicializaci promennych - zatim jen retezce');
16      | 5.27        | 21.871         | 2.259       | 0.032       | 0     | 4     |  select find_text('Product 1');
8       | 5.27        | 22.051         | 2.2661      | 0.035       | 0     | 4     |  select find_text('Year 1');
9       | 5.27        | 25.41          | 2.6042      | 0.032       | 0     | 4     |  select find_text('Total Other Liabilities');
4       | 5.27        | 26.161         | 2.6794      | 0.032       | 0     | 4     |  select find_text('Total money in (£)');
25      | 5.27        | 17.819         | 1.8441      | 0.032       | 0     | 4     |  select find_text('12');
12      | 5.27        | 23.705         | 2.4322      | 0.032       | 0     | 4     |  select find_text('Profit margin (%)');
5       | 5.27        | 21.143         | 2.1764      | 0.031       | 0     | 4     |  select find_text('By Vertex42.com');
5       | 5.27        | 21.976         | 2.2619      | 0.032       | 0     | 4     |  select find_text('Milestone #6');
5       | 5.27        | 17.544         | 1.8163      | 0.033       | 0     | 4     |  select find_text('120');
7       | 5.27        | 23.271         | 2.3868      | 0.032       | 0     | 4     |  select find_text('Dissertation III');
7       | 5.27        | 34.975         | 3.5634      | 0.033       | 0     | 4     |  select find_text('Hybrid: 4 days Ft. Lauderdale w/online component');
7       | 5.27        | 17.256         | 1.7884      | 0.032       | 0     | 4     |  select find_text('68');
1       | 5.27        | 21.944         | 2.2563      | 0.032       | 0     | 4     |  select find_text('January 2014');
1       | 5.27        | 21.444         | 2.2065      | 0.031       | 0     | 4     |  select find_text('NAD 48000');
1       | 5.27        | 26.025         | 2.6641      | 0.032       | 0     | 4     |  select find_text('Total Cost Material 5');
0       | 5.27        | 20.631         | 2.1252      | 0.031       | 0     | 4     |  select find_text('Mth 6');
4       | 5.27        | 30.519         | 3.1139      | 0.032       | 0     | 4     |  select find_text('Total Expenditure = (D) = B + C');
3       | 5.27        | 25.78          | 2.6385      | 0.032       | 0     | 4     |  select find_text(' Annual charge £');
? SET ROLE tfog_abells_u;
11      | 5.27        | 101.152        | 10.4428     | 0.073       | 0     | 4     |  select find_text('diaddvur');
11      | 5.27        | 26.517         | 2.7123      | 0.032       | 0     | 4     |  select find_text('Dvůr Králové');
11      | 5.27        | 20.209         | 2.0821      | 0.033       | 0     | 4     |  select find_text('bsys@seznam.cz');
11      | 5.27        | 37.209         | 3.7833      | 0.032       | 0     | 4     |  select find_text('Slouzi k inicializaci promennych - zatim jen retezce');
16      | 5.27        | 22.808         | 2.3425      | 0.033       | 0     | 4     |  select find_text('Product 1');
6       | 5.27        | 23.179         | 2.3808      | 0.032       | 0     | 4     |  select find_text('Year 1');
7       | 5.27        | 24.959         | 2.5601      | 0.032       | 0     | 4     |  select find_text('Total Other Liabilities');
3       | 5.27        | 26.233         | 2.6858      | 0.032       | 0     | 4     |  select find_text('Total money in (£)');
30      | 5.27        | 17.424         | 1.8026      | 0.032       | 0     | 4     |  select find_text('12');
8       | 5.27        | 24.558         | 2.5282      | 0.034       | 0     | 4     |  select find_text('Profit margin (%)');
4       | 5.27        | 21.617         | 2.2209      | 0.033       | 0     | 4     |  select find_text('By Vertex42.com');
4       | 5.27        | 22.111         | 2.2737      | 0.032       | 0     | 4     |  select find_text('Milestone #6');
4       | 5.27        | 17.036         | 1.7674      | 0.046       | 0     | 4     |  select find_text('120');
8       | 5.27        | 22.992         | 2.3636      | 0.031       | 0     | 4     |  select find_text('Dissertation III');
8       | 5.27        | 33.645         | 3.4285      | 0.032       | 0     | 4     |  select find_text('Hybrid: 4 days Ft. Lauderdale w/online component');
8       | 5.27        | 17.204         | 1.7827      | 0.031       | 0     | 4     |  select find_text('68');
2       | 5.27        | 21.86          | 2.2485      | 0.032       | 0     | 4     |  select find_text('January 2014');
2       | 5.27        | 21.342         | 2.196       | 0.032       | 0     | 4     |  select find_text('NAD 48000');
3       | 5.27        | 26.432         | 2.7049      | 0.031       | 0     | 4     |  select find_text('Total Cost Material 5');
1       | 5.27        | 21.191         | 2.2342      | 0.037       | 0     | 4     |  select find_text('Mth 6');
4       | 5.27        | 30.86          | 3.1646      | 0.031       | 0     | 4     |  select find_text('Total Expenditure = (D) = B + C');
2       | 5.27        | 25.417         | 2.6199      | 0.033       | 0     | 4     |  select find_text(' Annual charge £');
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
5       | 5.27        | 21.951         | 2.2801      | 0.031       | 0     | 4     |  select find_text('diaddvur');
5       | 5.27        | 24.399         | 2.5183      | 0.031       | 0     | 4     |  select find_text('Dvůr Králové');
5       | 5.27        | 18.825         | 1.9606      | 0.032       | 0     | 4     |  select find_text('bsys@seznam.cz');
5       | 5.27        | 35.709         | 3.6511      | 0.032       | 0     | 4     |  select find_text('Slouzi k inicializaci promennych - zatim jen retezce');
16      | 5.27        | 21.508         | 2.2278      | 0.032       | 0     | 4     |  select find_text('Product 1');
8       | 5.27        | 21.435         | 2.2097      | 0.033       | 0     | 4     |  select find_text('Year 1');
9       | 5.27        | 25.093         | 2.5884      | 0.033       | 0     | 4     |  select find_text('Total Other Liabilities');
4       | 5.27        | 26.941         | 2.7718      | 0.032       | 0     | 4     |  select find_text('Total money in (£)');
25      | 5.27        | 17.435         | 1.8219      | 0.032       | 0     | 4     |  select find_text('12');
12      | 5.27        | 23.561         | 2.4346      | 0.033       | 0     | 4     |  select find_text('Profit margin (%)');
5       | 5.27        | 20.936         | 2.1714      | 0.032       | 0     | 4     |  select find_text('By Vertex42.com');
5       | 5.27        | 22.617         | 2.3402      | 0.032       | 0     | 4     |  select find_text('Milestone #6');
