rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | ncond | nind  | stmt
----------------------------------------------------------------------------
? SET ROLE tfog_abells_cbudget_sdraft_u;
2       | 1786.45     | 82.555         | 96.4239     | 5.385       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('diaddvur');
2       | 1786.45     | 15.178         | 20.0329     | 2.519       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('bsys@seznam.cz');
8       | 1786.45     | 14.659         | 19.2323     | 2.499       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('Product 1');
5       | 1786.45     | 14.492         | 19.1059     | 2.512       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('Total Other Liabilities');
16      | 1786.45     | 13.98          | 18.5978     | 2.468       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('12');
3       | 1786.45     | 14.236         | 18.7726     | 2.455       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('By Vertex42.com');
3       | 1786.45     | 11.542         | 16.0978     | 2.403       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('120');
3       | 1786.45     | 12.781         | 17.4837     | 2.612       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('Hybrid: 4 days Ft. Lauderdale w/online component');
0       | 1786.45     | 11.682         | 16.3724     | 2.621       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('January 2014');
0       | 1786.45     | 11.783         | 16.3381     | 2.469       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('Total Cost Material 5');
6       | 1786.45     | 12.175         | 16.8476     | 2.554       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('Total Expenditure = (D) = B + C');
? SET ROLE tfog_acoast_cstatistics_stask_u;
4       | 1789.95     | 14.436         | 18.9917     | 2.405       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('diaddvur');
4       | 1789.95     | 11.15          | 15.7607     | 2.506       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('bsys@seznam.cz');
9       | 1789.95     | 11.193         | 15.8882     | 2.583       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('Product 1');
5       | 1789.95     | 10.864         | 15.5582     | 2.615       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('Total Other Liabilities');
14      | 1789.95     | 10.535         | 15.1522     | 2.529       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('12');
4       | 1789.95     | 10.564         | 15.172      | 2.504       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('By Vertex42.com');
