rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | ncond | nind  | stmt
----------------------------------------------------------------------------
852     | 5.27        | 1431.45        | 143.4487    | 0.058       | 0     | 4     |  select find_text('diaddvur');
852     | 5.27        | 1802.704       | 180.3413    | 0.033       | 0     | 4     |  select find_text('Dvůr Králové');
852     | 5.27        | 1273.125       | 127.3771    | 0.033       | 0     | 4     |  select find_text('bsys@seznam.cz');
852     | 5.27        | 2983.523       | 298.4174    | 0.032       | 0     | 4     |  select find_text('Slouzi k inicializaci promennych - zatim jen retezce');
896     | 5.27        | 1530.917       | 153.1588    | 0.032       | 0     | 4     |  select find_text('Product 1');
468     | 5.27        | 1543.558       | 154.4215    | 0.032       | 0     | 4     |  select find_text('Year 1');
488     | 5.27        | 1936.234       | 193.6887    | 0.032       | 0     | 4     |  select find_text('Total Other Liabilities');
256     | 5.27        | 2063.56        | 206.4202    | 0.032       | 0     | 4     |  select find_text('Total money in (£)');
2004    | 5.27        | 1116.133       | 111.6856    | 0.032       | 0     | 4     |  select find_text('12');
667     | 5.27        | 1780.217       | 178.0848    | 0.032       | 0     | 4     |  select find_text('Profit margin (%)');
119     | 5.27        | 1534.822       | 153.5463    | 0.033       | 0     | 4     |  select find_text('By Vertex42.com');
119     | 5.27        | 1626.184       | 162.6785    | 0.032       | 0     | 4     |  select find_text('Milestone #6');
119     | 5.27        | 1127.515       | 112.8195    | 0.032       | 0     | 4     |  select find_text('120');
351     | 5.27        | 1703.321       | 170.3984    | 0.032       | 0     | 4     |  select find_text('Dissertation III');
351     | 5.27        | 2818.483       | 281.9127    | 0.032       | 0     | 4     |  select find_text('Hybrid: 4 days Ft. Lauderdale w/online component');
351     | 5.27        | 1121.273       | 112.1917    | 0.033       | 0     | 4     |  select find_text('68');
77      | 5.27        | 1701.547       | 170.218     | 0.032       | 0     | 4     |  select find_text('January 2014');
77      | 5.27        | 1541.779       | 154.2389    | 0.033       | 0     | 4     |  select find_text('NAD 48000');
134     | 5.27        | 2019.755       | 202.0367    | 0.032       | 0     | 4     |  select find_text('Total Cost Material 5');
57      | 5.27        | 1469.875       | 147.053     | 0.032       | 0     | 4     |  select find_text('Mth 6');
313     | 5.27        | 2448.015       | 244.8655    | 0.031       | 0     | 4     |  select find_text('Total Expenditure = (D) = B + C');
349     | 5.27        | 1941.813       | 194.2421    | 0.032       | 0     | 4     |  select find_text(' Annual charge £');
852     | 5.27        | 1430.352       | 143.369     | 0.063       | 0     | 4     |  select find_text('diaddvur');
852     | 5.27        | 1808.897       | 180.9592    | 0.033       | 0     | 4     |  select find_text('Dvůr Králové');
852     | 5.27        | 1286.262       | 128.6945    | 0.032       | 0     | 4     |  select find_text('bsys@seznam.cz');
852     | 5.27        | 2966.82        | 296.7523    | 0.031       | 0     | 4     |  select find_text('Slouzi k inicializaci promennych - zatim jen retezce');
896     | 5.27        | 1532.663       | 153.3336    | 0.033       | 0     | 4     |  select find_text('Product 1');
468     | 5.27        | 1545.435       | 154.6119    | 0.032       | 0     | 4     |  select find_text('Year 1');
488     | 5.27        | 1938.648       | 193.9298    | 0.032       | 0     | 4     |  select find_text('Total Other Liabilities');
256     | 5.27        | 2051.455       | 205.2095    | 0.032       | 0     | 4     |  select find_text('Total money in (£)');
2004    | 5.27        | 1129.079       | 112.9799    | 0.032       | 0     | 4     |  select find_text('12');
667     | 5.27        | 1783.729       | 178.4371    | 0.032       | 0     | 4     |  select find_text('Profit margin (%)');
119     | 5.27        | 1548.949       | 154.9659    | 0.033       | 0     | 4     |  select find_text('By Vertex42.com');
119     | 5.27        | 1624.557       | 162.5188    | 0.032       | 0     | 4     |  select find_text('Milestone #6');
119     | 5.27        | 1133.33        | 113.3958    | 0.032       | 0     | 4     |  select find_text('120');
351     | 5.27        | 1722.185       | 172.2836    | 0.032       | 0     | 4     |  select find_text('Dissertation III');
351     | 5.27        | 2816.694       | 281.7349    | 0.032       | 0     | 4     |  select find_text('Hybrid: 4 days Ft. Lauderdale w/online component');
351     | 5.27        | 1124.404       | 112.5066    | 0.034       | 0     | 4     |  select find_text('68');
77      | 5.27        | 1629.515       | 163.0172    | 0.033       | 0     | 4     |  select find_text('January 2014');
77      | 5.27        | 1548.608       | 154.9243    | 0.032       | 0     | 4     |  select find_text('NAD 48000');
134     | 5.27        | 2025.832       | 202.6469    | 0.031       | 0     | 4     |  select find_text('Total Cost Material 5');
57      | 5.27        | 1536.157       | 153.6846    | 0.032       | 0     | 4     |  select find_text('Mth 6');
313     | 5.27        | 2467.452       | 246.8123    | 0.032       | 0     | 4     |  select find_text('Total Expenditure = (D) = B + C');
349     | 5.27        | 1938.558       | 193.9202    | 0.031       | 0     | 4     |  select find_text(' Annual charge £');
