rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | ncond | nind  | stmt
----------------------------------------------------------------------------
? SET ROLE tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral;
0       | 5.27        | 86.474         | 8.9075      | 0.059       | 0     | 4     |  select find_text('diaddvur');
0       | 5.27        | 10.525         | 1.1103      | 0.032       | 0     | 4     |  select find_text('Dvůr Králové');
0       | 5.27        | 9.425          | 1.0061      | 0.035       | 0     | 4     |  select find_text('bsys@seznam.cz');
0       | 5.27        | 11.48          | 1.2439      | 0.034       | 0     | 4     |  select find_text('Slouzi k inicializaci promennych - zatim jen retezce');
3       | 5.27        | 10.606         | 1.1472      | 0.039       | 0     | 4     |  select find_text('Product 1');
2       | 5.27        | 12.021         | 1.2756      | 0.031       | 0     | 4     |  select find_text('Year 1');
2       | 5.27        | 5.432          | 0.6149      | 0.044       | 0     | 4     |  select find_text('Total Other Liabilities');
0       | 5.27        | 5.993          | 0.7027      | 0.05        | 0     | 4     |  select find_text('Total money in (£)');
3       | 5.27        | 5.358          | 0.5982      | 0.039       | 0     | 4     |  select find_text('12');
2       | 5.27        | 5.313          | 0.5884      | 0.031       | 0     | 4     |  select find_text('Profit margin (%)');
1       | 5.27        | 5.049          | 0.5629      | 0.032       | 0     | 4     |  select find_text('By Vertex42.com');
1       | 5.27        | 5.153          | 0.5728      | 0.031       | 0     | 4     |  select find_text('Milestone #6');
1       | 5.27        | 5.058          | 0.5653      | 0.034       | 0     | 4     |  select find_text('120');
1       | 5.27        | 5.184          | 0.5789      | 0.031       | 0     | 4     |  select find_text('Dissertation III');
1       | 5.27        | 5.125          | 0.5735      | 0.031       | 0     | 4     |  select find_text('Hybrid: 4 days Ft. Lauderdale w/online component');
1       | 5.27        | 5.056          | 0.5803      | 0.031       | 0     | 4     |  select find_text('68');
0       | 5.27        | 5.205          | 0.5813      | 0.032       | 0     | 4     |  select find_text('January 2014');
0       | 5.27        | 5.122          | 0.5776      | 0.031       | 0     | 4     |  select find_text('NAD 48000');
0       | 5.27        | 4.988          | 0.5641      | 0.031       | 0     | 4     |  select find_text('Total Cost Material 5');
0       | 5.27        | 4.865          | 0.5496      | 0.031       | 0     | 4     |  select find_text('Mth 6');
0       | 5.27        | 5.053          | 0.567       | 0.03        | 0     | 4     |  select find_text('Total Expenditure = (D) = B + C');
1       | 5.27        | 4.968          | 0.559       | 0.031       | 0     | 4     |  select find_text(' Annual charge £');
? SET ROLE tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral;
0       | 5.27        | 84.452         | 8.7138      | 0.057       | 0     | 4     |  select find_text('diaddvur');
0       | 5.27        | 10.252         | 1.0842      | 0.033       | 0     | 4     |  select find_text('Dvůr Králové');
0       | 5.27        | 8.808          | 0.9429      | 0.056       | 0     | 4     |  select find_text('bsys@seznam.cz');
0       | 5.27        | 9.119          | 0.969       | 0.033       | 0     | 4     |  select find_text('Slouzi k inicializaci promennych - zatim jen retezce');
3       | 5.27        | 8.828          | 0.9465      | 0.033       | 0     | 4     |  select find_text('Product 1');
2       | 5.27        | 8.766          | 0.9392      | 0.034       | 0     | 4     |  select find_text('Year 1');
2       | 5.27        | 5.005          | 0.5632      | 0.032       | 0     | 4     |  select find_text('Total Other Liabilities');
0       | 5.27        | 4.99           | 0.5617      | 0.032       | 0     | 4     |  select find_text('Total money in (£)');
3       | 5.27        | 4.887          | 0.5533      | 0.033       | 0     | 4     |  select find_text('12');
