rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | ncond | nind  | stmt
----------------------------------------------------------------------------
? SET ROLE tfog_abells_u;
11      | 5.27        | 96.459         | 9.8923      | 0.052       | 0     | 4     |  select find_text('diaddvur');
11      | 5.27        | 26.826         | 2.7444      | 0.032       | 0     | 4     |  select find_text('Dvůr Králové');
11      | 5.27        | 20.4           | 2.1033      | 0.033       | 0     | 4     |  select find_text('bsys@seznam.cz');
11      | 5.27        | 36.641         | 3.7266      | 0.032       | 0     | 4     |  select find_text('Slouzi k inicializaci promennych - zatim jen retezce');
16      | 5.27        | 22.674         | 2.3338      | 0.033       | 0     | 4     |  select find_text('Product 1');
6       | 5.27        | 22.753         | 2.3385      | 0.032       | 0     | 4     |  select find_text('Year 1');
7       | 5.27        | 25.731         | 2.6358      | 0.032       | 0     | 4     |  select find_text('Total Other Liabilities');
3       | 5.27        | 27.036         | 2.7622      | 0.032       | 0     | 4     |  select find_text('Total money in (£)');
30      | 5.27        | 17.374         | 1.8001      | 0.032       | 0     | 4     |  select find_text('12');
8       | 5.27        | 24.327         | 2.4918      | 0.033       | 0     | 4     |  select find_text('Profit margin (%)');
4       | 5.27        | 21.169         | 2.1775      | 0.032       | 0     | 4     |  select find_text('By Vertex42.com');
4       | 5.27        | 22.384         | 2.2999      | 0.032       | 0     | 4     |  select find_text('Milestone #6');
4       | 5.27        | 17.24          | 1.7871      | 0.032       | 0     | 4     |  select find_text('120');
8       | 5.27        | 22.763         | 2.341       | 0.032       | 0     | 4     |  select find_text('Dissertation III');
8       | 5.27        | 33.427         | 3.4048      | 0.032       | 0     | 4     |  select find_text('Hybrid: 4 days Ft. Lauderdale w/online component');
8       | 5.27        | 17.105         | 1.7729      | 0.032       | 0     | 4     |  select find_text('68');
2       | 5.27        | 21.969         | 2.2589      | 0.031       | 0     | 4     |  select find_text('January 2014');
2       | 5.27        | 21.226         | 2.1864      | 0.032       | 0     | 4     |  select find_text('NAD 48000');
3       | 5.27        | 26.352         | 2.7042      | 0.05        | 0     | 4     |  select find_text('Total Cost Material 5');
1       | 5.27        | 20.843         | 2.1481      | 0.036       | 0     | 4     |  select find_text('Mth 6');
4       | 5.27        | 30.135         | 3.0759      | 0.032       | 0     | 4     |  select find_text('Total Expenditure = (D) = B + C');
2       | 5.27        | 25.264         | 2.5821      | 0.032       | 0     | 4     |  select find_text(' Annual charge £');
? SET ROLE postgres;
? SET ROLE acoast_stask_u;
15      | 5.27        | 41.254         | 4.2022      | 0.034       | 0     | 4     |  select find_text('diaddvur');
15      | 5.27        | 45.929         | 4.6587      | 0.06        | 0     | 4     |  select find_text('Dvůr Králové');
15      | 5.27        | 35.888         | 3.6546      | 0.033       | 0     | 4     |  select find_text('bsys@seznam.cz');
15      | 5.27        | 70.884         | 7.1487      | 0.031       | 0     | 4     |  select find_text('Slouzi k inicializaci promennych - zatim jen retezce');
22      | 5.27        | 41.129         | 4.1764      | 0.032       | 0     | 4     |  select find_text('Product 1');
15      | 5.27        | 40.824         | 4.141       | 0.031       | 0     | 4     |  select find_text('Year 1');
15      | 5.27        | 48.436         | 4.9075      | 0.034       | 0     | 4     |  select find_text('Total Other Liabilities');
5       | 5.27        | 50.4           | 5.1028      | 0.032       | 0     | 4     |  select find_text('Total money in (£)');
42      | 5.27        | 32.689         | 3.3315      | 0.031       | 0     | 4     |  select find_text('12');
19      | 5.27        | 44.945         | 4.5555      | 0.032       | 0     | 4     |  select find_text('Profit margin (%)');
9       | 5.27        | 40.08          | 4.0672      | 0.032       | 0     | 4     |  select find_text('By Vertex42.com');
9       | 5.27        | 43.33          | 4.3973      | 0.036       | 0     | 4     |  select find_text('Milestone #6');
9       | 5.27        | 32.539         | 3.317       | 0.032       | 0     | 4     |  select find_text('120');
6       | 5.27        | 44.505         | 4.5146      | 0.032       | 0     | 4     |  select find_text('Dissertation III');
6       | 5.27        | 65.805         | 6.6426      | 0.032       | 0     | 4     |  select find_text('Hybrid: 4 days Ft. Lauderdale w/online component');
6       | 5.27        | 33.253         | 3.3878      | 0.032       | 0     | 4     |  select find_text('68');
1       | 5.27        | 42.173         | 4.2804      | 0.032       | 0     | 4     |  select find_text('January 2014');
1       | 5.27        | 40.757         | 4.1381      | 0.032       | 0     | 4     |  select find_text('NAD 48000');
2       | 5.27        | 49.126         | 4.9789      | 0.031       | 0     | 4     |  select find_text('Total Cost Material 5');
1       | 5.27        | 39.023         | 3.9675      | 0.032       | 0     | 4     |  select find_text('Mth 6');
6       | 5.27        | 58.559         | 5.918       | 0.032       | 0     | 4     |  select find_text('Total Expenditure = (D) = B + C');
6       | 5.27        | 48.411         | 4.9037      | 0.032       | 0     | 4     |  select find_text(' Annual charge £');
? SET ROLE postgres;
? SET ROLE abells_sdraft_u;
13      | 5.27        | 37.788         | 3.8442      | 0.071       | 0     | 4     |  select find_text('diaddvur');
13      | 5.27        | 45.876         | 4.6516      | 0.031       | 0     | 4     |  select find_text('Dvůr Králové');
13      | 5.27        | 36.599         | 3.7212      | 0.032       | 0     | 4     |  select find_text('bsys@seznam.cz');
13      | 5.27        | 69.752         | 7.0353      | 0.031       | 0     | 4     |  select find_text('Slouzi k inicializaci promennych - zatim jen retezce');
28      | 5.27        | 41.03          | 4.1686      | 0.036       | 0     | 4     |  select find_text('Product 1');
15      | 5.27        | 40.789         | 4.141       | 0.033       | 0     | 4     |  select find_text('Year 1');
17      | 5.27        | 48.686         | 4.9374      | 0.033       | 0     | 4     |  select find_text('Total Other Liabilities');
5       | 5.27        | 50.632         | 5.1271      | 0.032       | 0     | 4     |  select find_text('Total money in (£)');
46      | 5.27        | 32.84          | 3.347       | 0.032       | 0     | 4     |  select find_text('12');
20      | 5.27        | 44.631         | 4.5257      | 0.032       | 0     | 4     |  select find_text('Profit margin (%)');
8       | 5.27        | 40.487         | 4.1105      | 0.033       | 0     | 4     |  select find_text('By Vertex42.com');
8       | 5.27        | 42.616         | 4.3243      | 0.033       | 0     | 4     |  select find_text('Milestone #6');
8       | 5.27        | 31.247         | 3.1902      | 0.032       | 0     | 4     |  select find_text('120');
11      | 5.27        | 42.026         | 4.2717      | 0.051       | 0     | 4     |  select find_text('Dissertation III');
11      | 5.27        | 64.671         | 6.5303      | 0.034       | 0     | 4     |  select find_text('Hybrid: 4 days Ft. Lauderdale w/online component');
11      | 5.27        | 31.778         | 3.2393      | 0.033       | 0     | 4     |  select find_text('68');
2       | 5.27        | 41.404         | 4.2014      | 0.035       | 0     | 4     |  select find_text('January 2014');
2       | 5.27        | 39.254         | 3.988       | 0.032       | 0     | 4     |  select find_text('NAD 48000');
2       | 5.27        | 48.442         | 4.9069      | 0.032       | 0     | 4     |  select find_text('Total Cost Material 5');
0       | 5.27        | 37.344         | 3.7971      | 0.032       | 0     | 4     |  select find_text('Mth 6');
5       | 5.27        | 57.392         | 5.8038      | 0.032       | 0     | 4     |  select find_text('Total Expenditure = (D) = B + C');
7       | 5.27        | 46.509         | 4.7178      | 0.033       | 0     | 4     |  select find_text(' Annual charge £');
? SET ROLE postgres;
? SET ROLE tfog_abells_u;
11      | 5.27        | 21.629         | 2.2231      | 0.032       | 0     | 4     |  select find_text('diaddvur');
11      | 5.27        | 24.162         | 2.4789      | 0.033       | 0     | 4     |  select find_text('Dvůr Králové');
11      | 5.27        | 18.809         | 1.9441      | 0.032       | 0     | 4     |  select find_text('bsys@seznam.cz');
11      | 5.27        | 35.138         | 3.576       | 0.031       | 0     | 4     |  select find_text('Slouzi k inicializaci promennych - zatim jen retezce');
16      | 5.27        | 21.825         | 2.2439      | 0.032       | 0     | 4     |  select find_text('Product 1');
6       | 5.27        | 21.299         | 2.3245      | 0.032       | 0     | 4     |  select find_text('Year 1');
7       | 5.27        | 25.652         | 2.6267      | 0.033       | 0     | 4     |  select find_text('Total Other Liabilities');
3       | 5.27        | 27.012         | 2.7641      | 0.033       | 0     | 4     |  select find_text('Total money in (£)');
30      | 5.27        | 17.61          | 1.8256      | 0.032       | 0     | 4     |  select find_text('12');
8       | 5.27        | 23.352         | 2.3967      | 0.032       | 0     | 4     |  select find_text('Profit margin (%)');
4       | 5.27        | 20.918         | 2.1539      | 0.032       | 0     | 4     |  select find_text('By Vertex42.com');
4       | 5.27        | 22.244         | 2.2852      | 0.033       | 0     | 4     |  select find_text('Milestone #6');
